序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
204,九把刀,男,台湾,报告老师！怪怪怪怪物！,2017,剧情/恐怖/青春,当代,台湾校园,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%8A%A5%E5%91%8A%E8%80%81%E5%B8%88%EF%BC%81%E6%80%AA%E6%80%AA%E6%80%AA%E6%80%AA%E7%89%A9%EF%BC%81%20%E4%B9%9D%E6%8A%8A%E5%88%80,https://movie.douban.com/subject_search?search_text=%E6%8A%A5%E5%91%8A%E8%80%81%E5%B8%88%EF%BC%81%E6%80%AA%E6%80%AA%E6%80%AA%E6%80%AA%E7%89%A9%EF%BC%81%20%E4%B9%9D%E6%8A%8A%E5%88%80,青春恐怖片代表
205,九把刀,男,台湾,月老,2021,爱情/奇幻,当代/冥界奇幻,台湾城市、冥界/奇幻空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9C%88%E8%80%81%20%E4%B9%9D%E6%8A%8A%E5%88%80,https://movie.douban.com/subject_search?search_text=%E6%9C%88%E8%80%81%20%E4%B9%9D%E6%8A%8A%E5%88%80,台湾奇幻爱情片代表
206,九把刀,男,台湾,请问，还有哪里需要加强,2023,喜剧/爱情,当代,台湾台北/黑道与美发店空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%AF%B7%E9%97%AE%EF%BC%8C%E8%BF%98%E6%9C%89%E5%93%AA%E9%87%8C%E9%9C%80%E8%A6%81%E5%8A%A0%E5%BC%BA%20%E4%B9%9D%E6%8A%8A%E5%88%80,https://movie.douban.com/subject_search?search_text=%E8%AF%B7%E9%97%AE%EF%BC%8C%E8%BF%98%E6%9C%89%E5%93%AA%E9%87%8C%E9%9C%80%E8%A6%81%E5%8A%A0%E5%BC%BA%20%E4%B9%9D%E6%8A%8A%E5%88%80,台湾都市爱情喜剧代表
207,钟孟宏,男,台湾,停车,2008,剧情,当代/一夜叙事,台北,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%81%9C%E8%BD%A6%20%E9%92%9F%E5%AD%9F%E5%AE%8F,https://movie.douban.com/subject_search?search_text=%E5%81%9C%E8%BD%A6%20%E9%92%9F%E5%AD%9F%E5%AE%8F,台湾城市荒诞叙事代表
208,钟孟宏,男,台湾,第四张画,2010,剧情,当代,台湾家庭与乡镇空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E5%9B%9B%E5%BC%A0%E7%94%BB%20%E9%92%9F%E5%AD%9F%E5%AE%8F,https://movie.douban.com/subject_search?search_text=%E7%AC%AC%E5%9B%9B%E5%BC%A0%E7%94%BB%20%E9%92%9F%E5%AD%9F%E5%AE%8F,儿童视角家庭题材代表
209,钟孟宏,男,台湾,失魂,2013,剧情/惊悚,当代,台湾山林/家庭空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%B1%E9%AD%82%20%E9%92%9F%E5%AD%9F%E5%AE%8F,https://movie.douban.com/subject_search?search_text=%E5%A4%B1%E9%AD%82%20%E9%92%9F%E5%AD%9F%E5%AE%8F,心理惊悚作者片代表
210,柯汶利,男,马来西亚/大陆,误杀,2019,剧情/悬疑/犯罪,当代,泰国华人社区/小城,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、维基资料、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%AF%AF%E6%9D%80%20%E6%9F%AF%E6%B1%B6%E5%88%A9,https://movie.douban.com/subject_search?search_text=%E8%AF%AF%E6%9D%80%20%E6%9F%AF%E6%B1%B6%E5%88%A9,悬疑翻拍商业片代表
211,柯汶利,男,马来西亚/大陆,默杀,2024,剧情/悬疑/犯罪,当代,东南亚华人城市/女子中学,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%BB%98%E6%9D%80%20%E6%9F%AF%E6%B1%B6%E5%88%A9,https://movie.douban.com/subject_search?search_text=%E9%BB%98%E6%9D%80%20%E6%9F%AF%E6%B1%B6%E5%88%A9,华语悬疑犯罪片代表
212,陈哲艺,男,新加坡,爸妈不在家,2013,剧情/家庭,1997年亚洲金融危机时期,新加坡,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%88%B8%E5%A6%88%E4%B8%8D%E5%9C%A8%E5%AE%B6%20%E9%99%88%E5%93%B2%E8%89%BA,https://movie.douban.com/subject_search?search_text=%E7%88%B8%E5%A6%88%E4%B8%8D%E5%9C%A8%E5%AE%B6%20%E9%99%88%E5%93%B2%E8%89%BA,新加坡华语作者片代表
213,陈哲艺,男,新加坡,热带雨,2019,剧情,当代,新加坡,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%83%AD%E5%B8%A6%E9%9B%A8%20%E9%99%88%E5%93%B2%E8%89%BA,https://movie.douban.com/subject_search?search_text=%E7%83%AD%E5%B8%A6%E9%9B%A8%20%E9%99%88%E5%93%B2%E8%89%BA,新加坡华语现实题材代表
214,陈哲艺,男,新加坡,漂流人生,2023,剧情,当代,希腊海岛/难民漂泊空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%BC%82%E6%B5%81%E4%BA%BA%E7%94%9F%20%E9%99%88%E5%93%B2%E8%89%BA,https://movie.douban.com/subject_search?search_text=%E6%BC%82%E6%B5%81%E4%BA%BA%E7%94%9F%20%E9%99%88%E5%93%B2%E8%89%BA,跨国合拍作者片代表
215,陈哲艺,男,新加坡,燃冬,2023,剧情/爱情,当代冬季,吉林延吉,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%87%83%E5%86%AC%20%E9%99%88%E5%93%B2%E8%89%BA,https://movie.douban.com/subject_search?search_text=%E7%87%83%E5%86%AC%20%E9%99%88%E5%93%B2%E8%89%BA,中国城市青年情感题材代表
216,张吉安,男,马来西亚,南巫,2020,剧情/奇幻,20世纪80年代,马来西亚吉打/泰马边境乡村,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8D%97%E5%B7%AB%20%E5%BC%A0%E5%90%89%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E5%8D%97%E5%B7%AB%20%E5%BC%A0%E5%90%89%E5%AE%89,马来西亚华语民俗题材代表
217,张吉安,男,马来西亚,五月雪,2023,剧情/历史,1969年与当代追溯,马来西亚吉隆坡/华人义山,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、历史事件资料、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%BA%94%E6%9C%88%E9%9B%AA%20%E5%BC%A0%E5%90%89%E5%AE%89,https://movie.douban.com/subject_search?search_text=%E4%BA%94%E6%9C%88%E9%9B%AA%20%E5%BC%A0%E5%90%89%E5%AE%89,马来西亚华人历史记忆代表
